,Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,loai_duong_null_flag,duong_vao_null_flag,Tổng số phòng,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ
613,0.04445490123643577,0.23076923076923078,0.3690306097293516,10.6845526357741,106.749897387049,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
3944,-0.3992422225807697,0.07692307692307693,-1.7072229052631471,10.692053460301,106.736480948767,0.0,1,0,-0.3306552193971129,1.0,0.0,0.0,0.0,0.0
2346,0.385278357028152,0.23076923076923078,-0.13659775324274978,10.8772868576618,106.673217232289,0.0,1,0,0.11316161425994499,0.0,0.0,0.0,0.0,1.0
2098,-0.4750780736920162,0.23076923076923078,0.1302907279796492,10.7732037776844,106.655044652219,3.0,0,0,0.11316161425994499,0.0,0.0,0.0,1.0,0.0
3277,0.3560006685276249,0.23076923076923078,1.287787426350749,10.8302470707975,106.702545639252,0.0,1,0,0.30272686033993124,0.0,0.0,0.0,0.0,1.0
5677,1.1230242988994874,0.6153846153846154,0.1302907279796492,10.8350828479258,106.684002691481,3.0,0,0,2.426586790265584,0.0,0.0,0.0,1.0,0.0
505,-0.6986692748486453,0.15384615384615385,2.3527842153990464,10.78116236116044,106.63178262154628,3.0,0,0,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
1902,-0.8577985162466776,0.15384615384615385,-0.4391709580720064,10.7920154647131,106.688933423002,2.0,0,1,-0.5962397703258719,0.0,0.0,0.0,0.0,1.0
272,0.5626351999909364,0.23076923076923078,-1.7072229052631471,10.7184498473234,106.62982415835,3.0,0,0,0.30272686033993124,1.0,0.0,0.0,1.0,0.0
5589,-1.375564037342406,0.15384615384615385,-0.13659775324274978,10.7919292269559,106.696682250328,0.0,1,1,-0.3306552193971129,1.0,0.0,0.0,1.0,0.0
3946,-1.375564037342406,0.07692307692307693,-0.13659775324274978,10.7572407651045,106.713988646991,0.0,1,1,-1.265459390571404,0.0,0.0,0.0,1.0,0.0
1872,0.5235542914366881,0.23076923076923078,-0.7884660886417492,10.8136193350281,106.689907196467,2.0,0,0,0.30272686033993124,0.0,0.0,0.0,0.0,1.0
2252,0.4139875106418454,0.07692307692307693,-1.2015945422910468,10.7476763927508,106.71948959228,3.0,0,0,-0.9028346336956022,0.0,0.0,1.0,0.0,0.0
