Diện tích,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,District,Ward,Street,Transport_Ratio,Public_Green_Ratio,Other_Land_Ratio,Residential_Ratio,alley_accessible,near_supermarket,near_school,near_hospital,near_park_or_lake,total_rooms,distance_to_center,Khoảng giá
142.0,3.0,3.0,2.0,3.0,Pink Book Certificate,Trống / Nhà thô,10.7035790172709,106.703772394788,Huyện Nhà Bè,Xã Phước Kiển,1378.7,0,0,0,0,0,1,Huyện Nhà Bè,Xã Phước Kiển,,0.0,0.0,100.0,0.0,0,0,0,0,0,6.0,8.058136398805674,15.8
49.0,3.0,3.0,2.0,3.0,Pink Book Certificate,Trống / Nhà thô,10.7837019634685,106.647406950022,Quận Tân Bình,Phường 10,112.7,0,0,0,0,0,1,Quận Tân Bình,Phường 10,,0.0,0.0,100.0,0.0,0,0,0,0,0,6.0,5.927233560534603,4.5
343.0,5.0,5.0,5.0,10.0,Pink Book Certificate,Fully Furnished,10.8207651487368,106.635677747207,Quận Tân Bình,Phường 15,410.1,0,0,0,0,0,0,Quận Tân Bình,Phường 15,,0.0,0.0,100.0,0.0,0,0,0,0,0,10.0,8.708595489902978,46.0
58.0,4.0,4.0,4.0,8.0,Pink Book Certificate,Fully Furnished,10.7429388004274,106.729609486786,Quận 7,Phường Bình Thuận,3286.7,1,1,0,0,0,0,Quận 7,Phường Bình Thuận,,0.0,0.0,100.0,0.0,0,0,0,0,0,8.0,4.818098747023744,11.59
50.0,3.0,3.0,2.0,3.0,Pink Book Certificate,Fully Furnished,10.7264727887215,106.734024771402,Quận 7,Phường Phú Thuận,255.0,0,0,0,0,0,0,Quận 7,Phường Phú Thuận,,0.0,0.0,99.98431372549021,0.0,0,0,0,0,0,6.0,6.577686511849361,4.79
61.0,3.0,1.0,2.0,3.0,Pink Book Certificate,Basic Furnished,10.4149570995016,106.972915062961,Huyện Cần Giờ,Thị trấn Cần Thạnh,61.5,0,0,0,0,0,1,Huyện Cần Giờ,Thị trấn Cần Thạnh,,0.0,0.0,100.0,0.0,0,0,0,0,0,4.0,49.94338074237805,6.3
25.0,3.0,3.0,2.0,3.0,Pink Book Certificate,Trống / Nhà thô,10.7243450052642,106.726507435188,Quận 7,Phường Tân Phú,138430.9,0,0,0,0,0,1,Quận 7,Phường Tân Phú,,0.0,0.0,96.74108887538839,0.0,0,0,0,0,0,6.0,6.3792524965863295,3.79
