Diện tích,Số tầng,Đường vào,Pháp lý,Nội thất,Latitude,Longitude,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Duong,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Khoảng giá
30.0,5.0,6.0,1.0,0.0,10.7870631326408,106.651588713034,19.38917355371904,16.92478578683119,,1,0,0,0,0,0,8.437432748989561,,,,8.0,5.5463637586774235,1.9947003132247452
58.0,2.0,3.0,2.0,3.0,10.8719009865636,106.677574055153,8.826587031047127,6.914934531396147,2362.5,0,0,0,0,0,1,12.66135834230355,3.484444444444444,0.0,96.5168253968254,4.0,10.968888114709507,1.7316555451583495
140.0,4.0,12.0,2.0,0.0,10.7898495257691,106.734757654041,38.64743434299875,30.953716068131776,,1,0,0,0,0,0,16.09753635669316,,,,20.0,3.985985753647064,3.367295829986474
52.0,4.0,7.0,2.0,0.0,10.8057334784854,106.63819657699,19.38917355371904,16.235786822236673,688.1,0,1,0,0,0,0,16.06992432466668,85.02833890422905,0.0,14.977474204330765,8.0,7.624940843577942,2.388762789235098
52.0,3.0,6.0,2.0,2.0,10.7646655579396,106.616350134523,10.737500000137535,7.657431272695933,1912.0,1,0,0,0,0,0,19.567814035088464,68.26464435146443,0.0,30.252092050209207,6.0,9.343143306931395,1.8870696490323795
80.0,5.0,6.0,2.0,2.0,10.7677910369144,106.594860123841,10.737500000137535,8.129243735301495,1886.4,1,0,0,1,0,0,12.226876278644877,6.972540288379983,0.0,93.02745971162,8.0,11.641015142745312,2.0541237336955462
64.0,2.0,20.0,2.0,0.0,10.7522002642937,106.598028866511,10.737500000137535,10.512328309478454,,1,1,1,0,1,1,14.25435834230355,,,,4.0,11.566152339274623,2.1633230256605382
59.0,4.0,4.0,2.0,2.0,10.7955289989817,106.677755424782,18.635920863560628,15.922894100217071,1378.3,1,0,0,0,0,0,15.990774769665908,76.85337009359355,0.0,23.145904374954657,9.0,3.34928638919087,2.388762789235098
50.0,4.0,6.0,2.0,0.0,10.7012307108186,106.741160606826,8.13167257069548,7.42361482511043,347.9,1,0,0,0,0,0,12.53073065389786,14.73699338890486,0.0,85.27737855705664,8.0,9.39553087381642,2.0014800002101243
60.0,2.0,10.0,2.0,0.0,10.7236209243825,106.61608653143,10.737500000137535,10.591286393747168,2083.9,0,0,1,0,0,0,14.352042394380264,0.0,0.0,0.0,4.0,10.96238709629223,2.0135687975291283
