Diện tích,Số tầng,Đường vào,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Đường_Frequency,Đường_Target,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Khoảng giá
-0.37791497731762147,0.15384615384615383,-0.6117367742091654,0.0,11.098013468022373,15.923197269929185,3278.6,1,0,1,0,0,1,40.38309034343928,52.9408894040139,6.676935277252485,0.0,-0.09907216617061913,9.07674271231227,20,15.50660834230355,0.0,0.0,0.0,1.0,0.0,1.9315214116032138
-1.2916740513063063,0.07692307692307691,-0.47696419252420597,3.0,8.131668552257471,7.431275025157785,51.9,0,0,0,0,0,0,4.720616570327554,0.0,0.0,95.27938342967246,-1.2646117463788682,10.202913173751613,157,8.356040181886842,0.0,0.0,0.0,1.0,0.0,1.091923300517313
0.216991528046181,0.23076923076923073,0.6872686225677395,3.0,53.75818181817839,34.07029975082686,69.9,0,1,0,0,1,1,0.0,0.0,0.0,99.9856938483548,0.29884369704142105,1.904348411572935,6,25.596805840956335,0.0,0.0,0.0,1.0,0.0,3.2846635654062037
1.256072666768705,0.07692307692307691,1.026431492093969,3.0,8.131668552257471,7.431275025157785,707.9,0,0,0,0,0,0,13.446814521825118,0.0,0.0,86.55883599378443,-0.9030809334878898,10.246092916171383,157,8.356040181886842,0.0,0.0,1.0,0.0,0.0,3.0349529867072724
0.5390383414413142,0.0,-0.2801672251871958,0.0,17.789285714285825,15.717993526044307,979.3,0,0,0,0,0,1,97.0295108751149,0.0,0.0,2.970489124885122,0.4713811325865483,4.074799193663042,157,8.356040181886842,0.0,0.0,0.0,1.0,0.0,2.0149030205422647
-0.28345024098198646,0.30769230769230765,2.2292491969128543,3.0,18.63592086332186,15.288713651298618,,0,0,0,0,0,0,,,,,0.10985031969557019,2.8250862063537507,19,17.123948200561294,0.0,0.0,1.0,0.0,0.0,3.6635616461296463
0.00666719631368384,0.15384615384615383,-1.088871800800004,2.0,18.827244701348747,15.081788755498186,11203.2,1,0,1,0,0,0,85.561000428449,12.784740074264494,1.6542594972864897,0.0,-0.09907216617061913,2.4738672812864215,33,19.987364228761614,1.0,0.0,0.0,1.0,0.0,2.70805020110221
-0.9688297474633962,0.07692307692307691,-0.019924371709243074,0.0,10.737500000006847,8.135783941420566,1912.0,0,0,0,0,0,0,68.26464435146443,0.0,1.4843096234309625,30.252092050209207,-0.9030809334878898,9.34539809758362,1,17.299167491319864,0.0,0.0,0.0,0.0,1.0,1.8625285401162623
-0.32993276303158625,0.15384615384615383,0.5333137093594994,0.0,18.63592086332186,15.149860937399001,72.3,1,0,0,0,0,1,21.53526970954357,0.0,0.0,78.40940525587828,0.29884369704142105,3.885823481311066,35,13.603440616043699,0.0,0.0,0.0,1.0,0.0,2.2617630984737906
0.043852124346162764,0.30769230769230765,0.6488190377612324,0.0,17.789285714285825,8.648767860862735,382.9,1,1,0,0,1,0,17.92112823191434,0.0,0.0,82.08409506398539,0.10985031969557019,6.039170830527929,4,20.092612917900777,0.0,0.0,0.0,0.0,1.0,3.126760535960395
