Diện tích,Số tầng,Đường vào,Latitude,Longitude,Loại đường vào,Quan_Huyen,Phuong_Xa,Dien_Tich_Lo,hem_xe_hoi,gan_cho_sieu_thi,gan_truong_hoc,gan_benh_vien,gan_cong_vien_ho_nuoc,duong_vao_null_flag,Đường_Từ_Địa_Chỉ,Ty_Le_Giao_Thong,Ty_Le_Cong_Cong_CX,Ty_Le_Khac,Ty_Le_Dat_O,Tổng số phòng,khoang_cach_trung_tam,Pháp lý_Sổ đỏ,Pháp lý_không có,Nội thất_Cơ bản,Nội thất_Trống / Nhà thô,Nội thất_Đầy đủ,Khoảng giá
80.0,1.0,4.0,10.8412042601513,106.725455430172,0.0,15.48107692307722,14.40074884671146,,0,0,0,0,0,0,18.310647152987464,,,,,3.0,7.722983427871126,0.0,0.0,0.0,1.0,0.0,5.65
57.0,5.0,20.0,10.8121234207638,106.692319317232,0.0,18.827244701348747,16.924787565129154,136.8,1,1,1,1,1,0,25.38415763254146,14.020467836257309,0.0,0.0,85.97222222222221,22.0,4.129657010137629,0.0,0.0,1.0,0.0,0.0,10.0
40.0,2.0,3.0,10.731909678911,106.731655441563,3.0,17.789285714285825,30.38692272100736,955.6,0,1,1,0,1,0,8.354727166160457,82.13059857681039,0.0,0.0,17.868354960234406,4.0,5.931064270531051,0.0,0.0,0.0,0.0,1.0,4.89
30.0,5.0,6.0,10.7870631326408,106.651588713034,2.0,19.38917355371901,16.924787565129154,,1,0,0,0,0,0,9.90181956943871,,,,,8.0,5.5463637586774235,1.0,0.0,0.0,1.0,0.0,6.35
58.0,2.0,3.0,10.8719009865636,106.677574055153,0.0,8.826587030733174,8.427513172672999,2362.5,0,0,0,0,0,1,17.729439434140414,3.484444444444444,0.0,0.0,96.5168253968254,4.0,10.968888114709507,0.0,0.0,0.0,0.0,0.0,4.65
140.0,4.0,12.0,10.7898495257691,106.734757654041,0.0,38.647438220481845,25.425738377885217,,1,0,0,0,0,0,18.455878219881225,,,,,20.0,3.985985753647064,0.0,0.0,0.0,1.0,0.0,28.0
52.0,4.0,7.0,10.8057334784854,106.63819657699,0.0,19.38917355371901,16.235786892588425,688.1,0,1,0,0,0,0,20.25050569105691,85.02833890422905,0.0,0.0,14.977474204330765,8.0,7.624940843577942,0.0,0.0,0.0,1.0,0.0,9.9
52.0,3.0,6.0,10.7646655579396,106.616350134523,2.0,10.737500000006847,8.135783941420566,1912.0,1,0,0,0,0,0,19.567814035091047,68.26464435146443,0.0,1.4843096234309625,30.252092050209207,6.0,9.343143306931395,0.0,0.0,0.0,0.0,1.0,5.6
80.0,5.0,6.0,10.7677910369144,106.594860123841,2.0,10.737500000006847,11.79885823719474,1886.4,1,0,0,1,0,0,17.250306900204997,6.972540288379983,0.0,0.0,93.02745971162,8.0,11.641015142745312,0.0,0.0,0.0,0.0,1.0,6.8
64.0,2.0,20.0,10.7522002642937,106.598028866511,3.0,10.737500000006847,13.482984203694478,,1,1,1,0,1,1,18.310647152987464,,,,,4.0,11.566152339274623,0.0,0.0,0.0,1.0,0.0,7.7
